Artist Name,NSFW Level,Top NSFW Tag 1,Top NSFW Tag 2,Top NSFW Tag 3,Image URL,futanari,tentacle penetration,feminization,chastity,mind control,machine sex,bimbofication,bondage,pegging,sissification,hypnosis,anal,inflation,oversized toy,oral sex,dominant female,machine
nicky w,Ecchi,chastity,feminization,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nicky%20w.jpg,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0
nin nakajima,Ecchi,bondage,oral sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nin%20nakajima.jpg,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0
nishiii26miii,Extreme,tentacle penetration,oversized toy,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nishiii26miii.jpg,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
norizc,Hentai,chastity,dominant female,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/norizc.jpg,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1
omone hokoma agm,Extreme,chastity,inflation,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/omone%20hokoma%20agm.jpg,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
oopartz yang,Hentai,oral sex,oversized toy,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/oopartz%20yang.jpg,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1
oshiri seijin,Hentai,bimbofication,chastity,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/oshiri%20seijin.jpg,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0
piaki,Ecchi,tentacle penetration,chastity,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/piaki.jpg,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0
piyokichi,Hentai,hypnosis,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/piyokichi.jpg,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0
pochi (pochi-goya),Ecchi,chastity,pegging,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/pochi%20%28pochi-goya%29.jpg,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1
r123,Hentai,chastity,hypnosis,anal,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/r123.jpg,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1
roki (hirokix),Hentai,bimbofication,pegging,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/roki%20%28hirokix%29.jpg,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
ryuuzaki ichi,Ecchi,chastity,anal,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/ryuuzaki%20ichi.jpg,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0
scottie (phantom2),Hentai,chastity,futanari,anal,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/scottie%20%28phantom2%29.jpg,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
senmu (senmudayo),Ecchi,sissification,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/senmu%20%28senmudayo%29.jpg,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0
shiratama (shiratamaco),Ecchi,chastity,tentacle penetration,anal,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/shiratama%20%28shiratamaco%29.jpg,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
skade,Hentai,chastity,anal,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/skade.jpg,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0
soejima shigenori,Hentai,bimbofication,chastity,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/soejima%20shigenori.jpg,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0
sui (petit comet),Hentai,bondage,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/sui%20%28petit%20comet%29.jpg,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0
svveetberry,Ecchi,mind control,chastity,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/svveetberry.jpg,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0
wokada,Ecchi,dominant female,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/wokada.jpg,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
xuuikie ashe,Hentai,chastity,futanari,pegging,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/xuuikie%20ashe.jpg,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0
yasukuni kazumasa,Ecchi,chastity,oversized toy,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yasukuni%20kazumasa.jpg,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1
yoshiron,Hentai,chastity,dominant female,sissification,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yoshiron.jpg,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0
yoshizane akihiro,Hentai,pegging,chastity,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yoshizane%20akihiro.jpg,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0
yt (wai-tei),Hentai,anal,chastity,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yt%20%28wai-tei%29.jpg,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1
yukari (rihenara doll),Hentai,bondage,mind control,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/yukari%20%28rihenara%20doll%29.jpg,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1
zoruboi,Ecchi,chastity,tentacle penetration,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/zoruboi.jpg,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
zounose,Hentai,tentacle penetration,chastity,oral sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/zounose.jpg,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1
1nilla',Ecchi,chastity,machine sex,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/1nilla%27.jpg,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1
258n,Hentai,chastity,bondage,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/258n.jpg,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0
2c=galore,Extreme,oversized toy,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/2c%3Dgalore.jpg,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0
2gong (9ujin ),Hentai,inflation,sissification,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/2gong%20%289ujin%20%29.jpg,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0
2l (2lsize),Hentai,sissification,chastity,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/2l%20%282lsize%29.jpg,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0
3.14,Extreme,chastity,tentacle penetration,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/3.14.jpg,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1
34no404,Extreme,feminization,chastity,sissification,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/34no404.jpg,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1
3four,Ecchi,oversized toy,hypnosis,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/3four.jpg,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0
3u,Hentai,pegging,machine sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/3u.jpg,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1
4690 (tkpbsk),Hentai,chastity,oversized toy,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/4690%20%28tkpbsk%29.jpg,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0
4qw5,Ecchi,sissification,chastity,oral sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/4qw5.jpg,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1
54hao,Ecchi,chastity,pegging,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/54hao.jpg,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
5saiji,Hentai,pegging,machine sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/5saiji.jpg,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1
5t (5t 000),Hentai,chastity,mind control,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/5t%20%285t%20000%29.jpg,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1
60mai,Hentai,mind control,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/60mai.jpg,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0
6 (yuchae),Hentai,chastity,pegging,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/6%20%28yuchae%29.jpg,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1
7 calpis 7,Hentai,oral sex,futanari,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/7%20calpis%207.jpg,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1
770mk,Hentai,mind control,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/770mk.jpg,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0
7aka ne11,Hentai,mind control,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/7aka%20ne11.jpg,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
80isiiii,Extreme,tentacle penetration,pegging,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/80isiiii.jpg,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1
82jhin,Extreme,sissification,feminization,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/82jhin.jpg,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0
92m,Extreme,bimbofication,pegging,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/92m.jpg,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1
a jak,Hentai,bondage,anal,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/a%20jak.jpg,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
a9b (louis814),Hentai,chastity,futanari,machine sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/a9b%20%28louis814%29.jpg,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1
aamond,Hentai,hypnosis,tentacle penetration,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aamond.jpg,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0
aayh,Hentai,chastity,futanari,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aayh.jpg,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1
abaratani kurou,Extreme,oversized toy,chastity,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/abaratani%20kurou.jpg,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1
abe inori,Extreme,chastity,bimbofication,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/abe%20inori.jpg,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0
abubu,Hentai,chastity,bondage,tentacle penetration,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/abubu.jpg,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
aburaeoyaji,Extreme,chastity,anal,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aburaeoyaji.jpg,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0
abutomato,Extreme,inflation,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/abutomato.jpg,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0
acryl,Ecchi,chastity,futanari,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/acryl.jpg,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1
act (xadachit),Ecchi,tentacle penetration,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/act%20%28xadachit%29.jpg,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1
adachi yousuke,Hentai,chastity,tentacle penetration,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/adachi%20yousuke.jpg,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
aelion draws,Extreme,pegging,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aelion%20draws.jpg,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
aer (tengqiu),Hentai,bimbofication,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aer%20%28tengqiu%29.jpg,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
afnroll,Hentai,sissification,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/afnroll.jpg,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0
afukuro,Hentai,mind control,hypnosis,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/afukuro.jpg,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1
agekichi (heart shape),Extreme,anal,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/agekichi%20%28heart%20shape%29.jpg,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1
agenasu,Extreme,chastity,oral sex,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/agenasu.jpg,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1
agoto,Extreme,sissification,oversized toy,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/agoto.jpg,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0
agovitch,Extreme,chastity,machine sex,dominant female,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/agovitch.jpg,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1
aida yuu,Hentai,sissification,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aida%20yuu.jpg,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1
aimpoleume,Hentai,oversized toy,hypnosis,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aimpoleume.jpg,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0
ainy,Hentai,tentacle penetration,chastity,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/ainy.jpg,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0
aioi u,Extreme,mind control,dominant female,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aioi%20u.jpg,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1
airandou,Hentai,tentacle penetration,chastity,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/airandou.jpg,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1
aiwo o lite,Extreme,bondage,chastity,bimbofication,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aiwo%20o%20lite.jpg,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0
aizawa sachi,Hentai,chastity,sissification,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aizawa%20sachi.jpg,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0
aji (sakanaaj1),Hentai,chastity,hypnosis,oversized toy,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aji%20%28sakanaaj1%29.jpg,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0
ajino (sakanahen),Hentai,feminization,mind control,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/ajino%20%28sakanahen%29.jpg,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
